記録者	日付	クエスト分類	ステージ	難易度	周回数	1周スタミナ	ベルブースター	魔法糸ブースター	魔法糸小	魔法糸中	魔法糸大	ベル	ジュエル	プレミアガチャチケット	SR以上限定プレミアガチャチケットのかけら	1984いろは	2061いろは	クッキングエプロンいろは	ホリデーカジュアルいろは	ラウンジウェアいろは	1984花織	2061花織	クッキングエプロン花織	ホリデーカジュアル花織	ラウンジウェア花織	英気の破宝珠	猛撃の破宝珠	堅守の破宝珠
@JINROH70798554	2020/12/31	メインストーリー第2部	12-5	ヘル	8	8	0	0	0	12	1	50474	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	6
@JINROH70798554	2020/12/31	メインストーリー第2部	12-5	ヘル	9	8	0	0	0	9	5	44869	4	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0
@tem70409339	2020/12/31	メインストーリー第2部	12-5	ヘル	10	8	0	0	0	15	0	56623	3	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0
@JINROH70798554	2020/12/18〜19	メインストーリー第2部	12-5	ヘル	10	8	0	0	0	10	5	60061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0
@JINROH70798554	2020/12/18〜19	メインストーリー第2部	12-5	ヘル	5	8	0	0	0	5	2	28137	5	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
@JINROH70798554	2020/12/18〜19	メインストーリー第2部	12-5	ヘル	9	8	0	0	0	8	3	63508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
@JINROH70798554	2020/12/18〜19	メインストーリー第2部	12-5	ヘル	9	8	0	0	0	9	5	49871	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0
@JINROH70798554	2020/12/18〜19	メインストーリー第2部	12-5	ヘル	10	8	0	0	0	7	4	63780	6	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3
@JINROH70798554	2020/12/18〜19	メインストーリー第2部	12-5	ヘル	2	8	0	0	0	1	0	13602	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
@71hKCMK5Jv9niuH	2020/12/18〜19	メインストーリー第2部	12-5	ヘル	10	8	0	0	0	7	3	82050	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
@71hKCMK5Jv9niuH	2020/12/18〜19	メインストーリー第2部	12-5	ヘル	10	8	0	0	0	7	3	61979	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
@komutsun	2020/12/17〜19	メインストーリー第2部	12-5	ヘル	10	8	0	0	0	10	1	73302	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	8
@komutsun	2020/12/17〜19	メインストーリー第2部	12-5	ヘル	10	8	0	0	0	7	4	54480	0	0	0	0	0	0	0	1	0	0	0	0	0	2	4	6
@komutsun	2020/12/17〜19	メインストーリー第2部	12-5	ヘル	10	8	0	0	0	7	2	57153	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	11
@komutsun	2020/12/17〜19	メインストーリー第2部	12-5	ヘル	10	8	0	0	0	5	5	67092	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	0
@komutsun	2020/12/17〜19	メインストーリー第2部	12-5	ヘル	10	8	0	0	0	12	1	64988	0	0	0	0	0	0	0	0	0	0	1	0	1	4	2	0
@tem70409339	2020/12/19	メインストーリー第2部	12-5	ヘル	10	8	0	0	0	5	2	75590	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	11
@46yomuyomu46	2020/12/18	メインストーリー第2部	12-5	ヘル	10	8	0	0	0	6	1	81661	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0
@tem70409339	2020/12/18	メインストーリー第2部	12-5	ヘル	10	8	0	0	0	10	4	56791	0	0	0	0	0	0	1	0	0	0	0	0	0	2	2	0
@tem70409339	2020/12/18	メインストーリー第2部	12-5	ヘル	10	8	0	0	0	12	2	59180	0	0	2	0	0	0	1	0	0	0	0	0	1	2	4	0
@Mk2Noko	2020/12/18	メインストーリー第2部	12-5	ヘル	10	8	0	0	0	3	3	76488	0	0	0	0	0	1	0	1	0	0	0	0	0	0	2	4
@Mk2Noko	2020/12/17	メインストーリー第2部	12-5	ヘル	10	8	0	0	0	9	3	49844	0	0	0	0	0	0	0	0	0	0	0	0	1	2	6	9
@tem70409339	2020/12/17	メインストーリー第2部	12-5	ヘル	10	8	0	0	0	6	10	62059	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
@46yomuyomu46	2020/12/17	メインストーリー第2部	12-5	ヘル	10	8	0	0	0	6	1	85863	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
@tem70409339	2020/12/17	メインストーリー第2部	12-5	ヘル	10	8	0	0	0	10	2	62705	0	0	0	0	0	0	0	1	0	0	0	0	1	4	2	5
@46yomuyomu46	2020/12/17	メインストーリー第2部	12-5	ヘル	50	8	0	0	0	51	23	298459	3	0	0	0	0	0	1	1	0	0	2	0	2	4	4	10
@46yomuyomu46	2020/12/17	メインストーリー第2部	12-5	ヘル	50	8	0	0	0	49	8	351039	5	0	0	0	0	0	0	1	0	0	0	0	3	2	12	7
