記録者	日付	クエスト分類	ステージ	難易度	周回数	1周スタミナ	ベルブースター	魔法糸ブースター	魔法糸小	魔法糸中	魔法糸大	ベル	ジュエル	プレミアガチャチケット	SR以上限定プレミアガチャチケットのかけら	1984セイラ	2061セイラ	クッキングエプロンセイラ	ホリデーカジュアルセイラ	ラウンジウェアセイラ	1984ここあ	2061ここあ	クッキングエプロンここあ	ホリデーカジュアルここあ	ラウンジウェアここあ	俊敏の破宝珠	拒絶の破宝珠
@tem70409339	2020/11/21	メインストーリー第2部	11-7	ヘル	10	8	0	0	0	8	3	66892	0	0	0	0	0	1	0	0	0	0	0	0	0	14	0
@tem70409339	2020/11/20	メインストーリー第2部	11-7	ヘル	10	8	0	0	0	9	1	63599	0	0	2	0	0	0	0	0	0	0	0	0	1	5	3
@CanDo1122	2020/11/20	メインストーリー第2部	11-7	ヘル	50	8	0	0	0	36	12	340305	6	0	0	0	0	0	1	2	0	0	1	0	2	37	11
@CanDo1122	2020/11/20	メインストーリー第2部	11-7	ヘル	50	8	0	0	0	48	20	307745	4	1	0	0	0	0	0	0	0	0	0	0	0	7	18
@46yomuyomu46	2020/11/20	メインストーリー第2部	11-6	ヘル	50	8	1	1	0	128	28	500968	5	0	0	0	0	1	0	1	0	0	2	1	2	36	23
@46yomuyomu46	2020/11/20	メインストーリー第2部	11-6	ヘル	50	8	1	1	0	116	32	583100	0	0	0	0	0	1	0	0	0	0	0	0	0	13	20
@tem70409339	2020/11/20	メインストーリー第2部	11-7	ヘル	10	8	0	0	0	11	2	55217	0	0	0	0	0	0	1	1	0	0	0	0	0	0	12
@tem70409339	2020/11/20	メインストーリー第2部	11-7	ヘル	10	8	0	0	0	7	7	44776	0	0	0	0	1	0	0	0	0	0	0	0	1	4	3
@CanDo1122	2020/11/19	メインストーリー第2部	11-7	ヘル	50	8	0	0	0	51	18	322072	4	0	0	0	0	0	1	0	0	0	1	1	0	10	14
@CanDo1122	2020/11/19	メインストーリー第2部	11-7	ヘル	50	8	0	0	0	45	16	326386	13	0	0	0	0	2	0	1	0	0	0	0	3	21	4
@CanDo1122	2020/11/19	メインストーリー第2部	11-7	ヘル	50	8	0	0	0	40	14	352070	0	0	3	0	0	0	0	3	0	0	2	1	0	23	13
@tem70409339	2020/11/19	メインストーリー第2部	11-7	ヘル	10	8	0	0	0	7	3	71192	0	0	0	0	0	0	0	0	0	0	0	0	0	8	4
@46yomuyomu46	2020/11/19	メインストーリー第2部	11-6	ヘル	50	8	1	1	0	88	32	623882	0	0	0	0	0	0	1	0	0	0	0	0	2	14	34
@46yomuyomu46	2020/11/19	メインストーリー第2部	11-6	ヘル	50	8	1	1	0	70	38	667536	6	0	3	0	0	0	0	1	1	0	0	0	1	16	18
@tem70409339	2020/11/19	メインストーリー第2部	11-7	ヘル	10	8	0	0	0	5	3	79860	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3
@46yomuyomu46	2020/11/19	メインストーリー第2部	11-7	ヘル	50	8	1	1	0	112	20	652814	0	0	0	0	0	1	0	0	0	0	0	0	1	26	21
@46yomuyomu46	2020/11/19	メインストーリー第2部	11-7	ヘル	50	8	1	1	0	110	30	567030	5	0	3	0	0	0	0	1	0	0	0	0	1	34	36
@tem70409339	2020/11/19	メインストーリー第2部	11-7	ヘル	10	8	0	0	0	11	4	56257	0	0	0	0	0	0	0	1	0	0	0	0	0	3	3
@Mk2Noko	2020/11/18	メインストーリー第2部	11-7	ヘル	10	8	0	0	0	17	2	68284	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
@tem70409339	2020/11/18	メインストーリー第2部	11-7	ヘル	10	8	0	0	0	10	3	58135	0	0	0	0	0	1	0	0	0	0	0	0	1	0	9
@CanDo1122	2020/11/18	メインストーリー第2部	11-7	ヘル	50	8	0	0	0	48	11	350020	0	0	2	1	0	0	0	2	0	0	0	0	1	16	7
@tem70409339	2020/11/18	メインストーリー第2部	11-7	ヘル	10	8	0	0	0	8	5	52033	0	0	0	0	0	0	0	1	0	0	2	0	0	9	0
@tem70409339	2020/11/17	メインストーリー第2部	11-7	ヘル	10	8	0	0	0	11	3	61697	4	0	0	0	0	0	0	0	0	0	0	0	0	5	3
@tem70409339	2020/11/17	メインストーリー第2部	11-7	ヘル	10	8	0	0	0	9	2	66397	0	0	0	0	0	0	0	0	0	0	0	0	1	4	15
